体重/kg,年龄/岁,身高/cm,尺寸
53.0,42.0,167.64,S
54.0,41.0,162.56,S
72.0,41.0,170.18,L
52.0,42.0,165.1,S
20.0,32.0,170.18,S
56.0,33.0,162.56,M
62.0,33.0,170.18,L
56.0,52.0,162.56,M
71.0,31.0,172.72,XL
64.0,38.0,167.64,L
71.0,39.0,175.26,XL
54.0,23.0,162.56,M
58.0,29.0,167.64,M
70.0,34.0,170.18,XL
58.0,30.0,167.64,M
54.0,29.0,165.1,S
,32.0,162.56,M
54.0,33.0,164.94,S
58.0,26.0,170.18,M
78.0,30.0,177.8,L
64.0,46.0,167.64,L
62.0,52.0,162.56,M
63.0,32.0,172.72,M
61.0,31.0,162.56,M
64.0,41.0,162.56,L
54.0,34.0,162.56,M
53.0,23.0,170.26,S
65.0,30.0,175.26,M
65.0,38.0,160.02,L
53.0,28.0,162.4,S
68.0,46.0,162.56,XL
52.0,31.0,157.48,S
73.0,34.0,177.8,XL
61.0,30.0,160.02,M
59.0,36.0,162.56,M
65.0,53.0,162.56,XL
53.0,32.0,165.1,S
50.0,28.0,,S
53.0,43.0,167.64,M
54.0,27.0,165.1,M
54.0,27.0,157.48,M
71.0,26.0,172.72,L
76.0,37.0,170.18,XL
61.0,31.0,157.48,L
71.0,26.0,175.26,L
54.0,27.0,167.48,S
,27.0,170.18,M
61.0,30.0,172.72,M
65.0,31.0,175.26,M
,28.0,170.18,M
68.0,35.0,167.64,XL
54.0,,165.1,S
58.0,45.0,172.72,M
68.0,30.0,167.64,XL
58.0,31.0,162.56,M
49.0,39.0,157.48,S
61.0,12.0,167.64,M
77.0,31.0,172.72,XL
80.0,36.0,175.26,XL
67.0,37.0,160.02,L
68.0,35.0,170.18,XL
66.0,49.0,162.56,L
67.0,33.0,162.56,L
70.0,34.0,175.26,L
54.0,51.0,167.64,S
52.0,22.0,154.94,S
76.0,49.0,180.34,XL
70.0,34.0,160.02,XL
56.0,39.0,167.64,M
80.0,40.0,175.26,XL
68.0,29.0,160.02,XL
56.0,42.0,165.1,M
67.0,37.0,164.94,XL
54.0,34.0,165.1,S
61.0,33.0,177.8,M
58.0,35.0,162.56,M
52.0,30.0,165.1,S
61.0,26.0,170.18,M
67.0,51.0,167.64,L
54.0,,165.1,S
71.0,28.0,165.1,L
63.0,29.0,170.18,M
67.0,34.0,162.56,L
65.0,37.0,160.02,L
52.0,47.0,160.02,M
58.0,53.0,160.02,M
65.0,29.0,162.56,XL
68.0,25.0,167.64,XL
58.0,27.0,162.56,M
54.0,25.0,152.4,M
58.0,38.0,172.72,M
69.0,29.0,162.56,L
73.0,29.0,170.18,XL
68.0,41.0,172.72,L
58.0,43.0,162.56,M
73.0,40.0,177.8,XL
72.0,32.0,175.26,XL
52.0,34.0,167.64,S
58.0,40.0,170.18,M
61.0,32.0,172.72,M
63.0,38.0,172.72,M
68.0,28.0,167.64,XL
56.0,34.0,160.02,M
53.0,38.0,160.02,S
72.0,32.0,162.56,XL
63.0,30.0,172.72,M
73.0,25.0,162.4,XL
54.0,43.0,160.02,S
61.0,,177.8,M
54.0,36.0,157.48,M
57.0,44.0,157.48,M
56.0,48.0,165.1,M
52.0,28.0,162.56,S
52.0,29.0,154.94,S
52.0,35.0,160.02,S
58.0,32.0,175.26,M
55.0,34.0,154.94,M
63.0,27.0,170.18,M
58.0,27.0,157.48,M
70.0,31.0,167.64,XL
52.0,16.0,157.48,S
58.0,29.0,160.02,M
68.0,31.0,167.64,XL
53.0,30.0,160.02,S
64.0,53.0,170.18,L
61.0,26.0,160.02,M
69.0,34.0,170.18,L
68.0,54.0,167.64,L
54.0,35.0,157.48,M
61.0,29.0,165.1,M
67.0,27.0,162.56,L
76.0,36.0,172.72,L
71.0,39.0,167.64,L
71.0,24.0,167.64,L
56.0,43.0,172.72,M
67.0,34.0,162.56,L
69.0,23.0,172.72,XL
67.0,39.0,170.18,L
28.0,39.0,157.48,M
54.0,,165.1,S
69.0,35.0,167.64,L
68.0,29.0,160.02,XL
58.0,34.0,165.1,M
70.0,42.0,160.02,XL
75.0,33.0,167.64,XL
58.0,28.0,152.4,L
71.0,24.0,170.18,L
,50.0,162.56,XL
,48.0,162.56,M
71.0,29.0,172.72,L
56.0,62.0,162.56,M
50.0,29.0,152.4,S
69.0,49.0,170.18,L
63.0,35.0,177.8,M
53.0,32.0,154.94,M
74.0,29.0,172.72,L
71.0,40.0,170.18,L
56.0,36.0,167.64,M
53.0,33.0,164.94,S
58.0,28.0,157.48,M
54.0,31.0,165.1,S
70.0,38.0,172.72,XL
65.0,34.0,170.18,M
68.0,39.0,167.64,XL
68.0,34.0,167.64,XL
76.0,28.0,177.8,L
75.0,25.0,167.64,XL
50.0,43.0,152.4,M
61.0,49.0,157.48,L
53.0,29.0,167.64,S
43.0,44.0,157.48,S
58.0,32.0,162.56,M
54.0,27.0,172.72,S
52.0,28.0,154.94,M
61.0,29.0,162.56,M
64.0,42.0,170.18,L
56.0,31.0,152.4,L
54.0,27.0,165.1,M
61.0,25.0,162.56,M
68.0,33.0,167.64,L
68.0,37.0,167.64,XL
67.0,41.0,160.02,L
56.0,33.0,165.1,M
61.0,29.0,165.1,M
71.0,37.0,172.72,L
69.0,34.0,175.26,L
58.0,40.0,162.56,M
64.0,27.0,165.1,M
71.0,19.0,167.64,L
49.0,31.0,162.56,S
70.0,31.0,167.64,XL
72.0,27.0,167.64,XL
56.0,30.0,160.02,M
58.0,26.0,162.56,M
72.0,31.0,167.64,XL
68.0,30.0,167.64,XL
71.0,28.0,172.72,XL
63.0,38.0,160.02,XL
56.0,26.0,162.56,M
63.0,24.0,170.18,M
52.0,50.0,162.56,S
75.0,31.0,167.64,XL
58.0,31.0,172.72,M
75.0,29.0,172.72,XL
58.0,36.0,162.56,M
52.0,24.0,160.02,S
57.0,24.0,152.4,L
52.0,28.0,162.56,S
62.0,30.0,167.64,M
74.0,31.0,162.56,XL
69.0,37.0,167.64,L
52.0,24.0,170.26,S
65.0,30.0,167.64,M
57.0,20.0,170.18,M
58.0,31.0,170.18,M
61.0,32.0,170.18,M
67.0,36.0,175.26,L
52.0,42.0,162.56,S
58.0,33.0,165.1,M
69.0,51.0,162.56,L
52.0,26.0,157.48,M
71.0,29.0,167.64,L
61.0,34.0,165.1,M
52.0,55.0,157.48,M
78.0,37.0,175.26,XL
52.0,27.0,162.56,S
68.0,33.0,160.02,XL
56.0,47.0,160.02,M
71.0,29.0,172.72,L
64.0,17.0,162.56,XL
63.0,39.0,157.48,L
73.0,28.0,172.72,XL
49.0,44.0,154.94,S
71.0,35.0,170.18,XL
57.0,35.0,162.56,M
56.0,20.0,167.64,M
56.0,26.0,167.64,M
54.0,28.0,167.64,M
64.0,27.0,165.1,M
68.0,37.0,165.1,XL
69.0,27.0,172.72,L
61.0,45.0,172.72,M
49.0,26.0,162.56,S
58.0,32.0,165.1,M
54.0,28.0,170.18,M
54.0,47.0,165.1,M
62.0,33.0,170.18,M
54.0,49.0,154.94,M
55.0,33.0,162.56,M
58.0,28.0,167.64,M
48.0,26.0,154.94,S
52.0,29.0,157.48,S
54.0,27.0,165.1,S
54.0,35.0,167.48,S
69.0,37.0,165.1,L
56.0,45.0,160.02,M
76.0,38.0,172.72,XL
69.0,50.0,177.8,L
71.0,39.0,175.26,XL
61.0,29.0,172.72,L
54.0,34.0,167.64,S
52.0,31.0,162.56,S
70.0,33.0,170.18,L
58.0,32.0,160.02,M
65.0,29.0,162.56,L
48.0,34.0,160.02,S
54.0,22.0,162.56,S
53.0,40.0,162.56,M
53.0,30.0,167.64,S
53.0,30.0,170.18,S
61.0,26.0,162.56,M
52.0,40.0,157.48,S
49.0,37.0,167.64,S
54.0,44.0,165.1,M
53.0,38.0,157.48,S
61.0,20.0,165.1,M
47.0,36.0,160.02,S
61.0,41.0,167.64,M
76.0,37.0,172.72,L
52.0,23.0,167.72,S
65.0,35.0,160.02,XL
68.0,26.0,162.56,L
61.0,31.0,157.48,L
61.0,26.0,157.48,L
56.0,50.0,157.48,M
70.0,28.0,162.56,L
63.0,37.0,160.02,XL
53.0,35.0,160.02,S
69.0,31.0,172.72,L
54.0,23.0,154.94,M
53.0,39.0,162.56,S
54.0,35.0,157.48,M
49.0,43.0,172.72,S
55.0,29.0,157.48,M
58.0,49.0,167.64,M
69.0,46.0,170.18,L
52.0,31.0,162.56,M
70.0,24.0,165.1,XL
73.0,37.0,167.48,XL
52.0,35.0,167.64,S
58.0,35.0,165.1,M
52.0,31.0,157.48,S
69.0,30.0,164.94,XL
55.0,27.0,170.18,M
60.0,31.0,172.72,L
60.0,28.0,170.18,M
49.0,37.0,170.18,S
67.0,40.0,167.64,L
61.0,29.0,165.1,M
61.0,31.0,157.48,L
71.0,30.0,170.18,L
51.0,29.0,162.56,S
58.0,33.0,152.4,L
54.0,29.0,154.94,M
52.0,29.0,162.56,S
49.0,26.0,170.18,S
52.0,31.0,162.56,S
56.0,37.0,170.18,M
76.0,29.0,175.26,XL
54.0,29.0,160.02,S
82.0,45.0,164.94,XL
72.0,39.0,172.72,XL
64.0,33.0,167.64,L
64.0,37.0,167.64,L
61.0,27.0,177.8,M
61.0,28.0,170.18,M
53.0,36.0,165.1,S
56.0,35.0,165.1,M
57.0,29.0,162.56,M
72.0,34.0,175.26,L
51.0,38.0,157.48,S
76.0,28.0,175.26,XL
75.0,33.0,170.18,XL
68.0,36.0,162.56,XL
73.0,26.0,170.18,XL
63.0,29.0,167.64,M
61.0,35.0,157.48,L
58.0,45.0,167.64,M
65.0,33.0,160.02,L
76.0,21.0,175.26,L
69.0,27.0,162.56,L
70.0,27.0,167.64,XL
69.0,32.0,170.18,XL
56.0,31.0,160.02,M
26.0,28.0,157.48,M
64.0,58.0,165.1,M
48.0,35.0,157.48,S
54.0,26.0,160.02,S
54.0,36.0,167.64,S
57.0,26.0,167.64,M
53.0,32.0,170.26,S
62.0,32.0,167.64,M
61.0,29.0,162.56,M
71.0,30.0,170.18,L
54.0,30.0,167.48,S
64.0,28.0,172.72,M
57.0,31.0,172.72,M
74.0,32.0,167.64,XL
54.0,35.0,157.48,M
71.0,32.0,167.64,XL
61.0,28.0,162.56,M
58.0,30.0,165.1,M
54.0,32.0,167.8,S
49.0,38.0,160.02,S
58.0,27.0,162.56,M
48.0,46.0,160.02,S
82.0,22.0,177.8,XL
67.0,38.0,172.72,L
63.0,32.0,172.72,M
70.0,39.0,165.1,XL
58.0,38.0,170.18,M
56.0,57.0,170.18,M
56.0,36.0,170.18,M
54.0,25.0,165.1,S
67.0,37.0,170.18,L
49.0,22.0,152.4,S
54.0,45.0,162.56,M
53.0,19.0,160.02,S
71.0,34.0,165.1,L
69.0,40.0,162.56,L
67.0,30.0,162.56,L
56.0,31.0,157.48,M
58.0,30.0,157.48,M
54.0,42.0,170.18,M
58.0,27.0,160.02,M
69.0,30.0,177.8,XL
72.0,24.0,172.72,L
73.0,30.0,175.26,XL
53.0,30.0,160.02,S
54.0,25.0,165.1,M
73.0,28.0,167.48,XL
45.0,30.0,162.56,S
56.0,35.0,162.56,M
75.0,42.0,167.64,XL
49.0,31.0,157.48,S
58.0,36.0,162.56,M
57.0,40.0,160.02,M
65.0,24.0,170.18,M
64.0,31.0,167.64,L
69.0,43.0,167.48,XL
48.0,40.0,157.48,S
63.0,28.0,172.72,M
70.0,29.0,167.64,XL
54.0,47.0,162.56,M
54.0,31.0,164.94,S
68.0,34.0,170.18,L
58.0,28.0,170.18,M
54.0,29.0,164.94,S
63.0,27.0,170.18,L
76.0,28.0,177.8,XL
61.0,46.0,165.1,M
65.0,38.0,162.56,L
58.0,27.0,157.48,M
68.0,34.0,162.56,L
49.0,24.0,167.64,S
76.0,32.0,180.34,XL
78.0,33.0,177.8,XL
55.0,24.0,170.18,M
59.0,34.0,162.56,M
61.0,30.0,157.48,L
69.0,32.0,170.18,L
56.0,33.0,162.56,M
57.0,26.0,162.56,M
53.0,53.0,160.02,M
70.0,37.0,167.64,L
61.0,25.0,160.02,M
54.0,25.0,160.02,M
70.0,36.0,165.1,XL
52.0,33.0,157.48,M
58.0,38.0,167.64,M
69.0,35.0,170.18,L
61.0,31.0,172.72,M
63.0,35.0,160.02,XL
69.0,30.0,165.1,L
69.0,48.0,170.18,XL
69.0,30.0,170.18,XL
71.0,29.0,172.72,L
65.0,29.0,165.1,M
68.0,31.0,165.1,XL
78.0,31.0,177.8,XL
69.0,28.0,167.64,L
56.0,29.0,172.72,M
52.0,28.0,162.56,S
61.0,33.0,165.1,M
80.0,23.0,185.42,XL
47.0,40.0,152.4,S
70.0,29.0,167.64,L
71.0,37.0,170.18,XL
55.0,29.0,154.94,M
58.0,37.0,170.18,M
58.0,30.0,160.02,M
61.0,30.0,170.18,M
55.0,33.0,167.64,M
52.0,35.0,167.64,S
58.0,30.0,165.1,M
68.0,27.0,167.64,XL
53.0,37.0,157.48,S
57.0,37.0,160.02,M
65.0,32.0,162.4,XL
77.0,30.0,167.48,XL
54.0,25.0,162.56,M
79.0,28.0,172.72,XL
61.0,30.0,175.26,M
52.0,44.0,167.64,S
73.0,53.0,177.8,XL
73.0,47.0,170.18,XL
61.0,34.0,175.26,M
58.0,31.0,170.18,M
56.0,35.0,165.1,M
65.0,27.0,167.64,M
54.0,20.0,167.8,S
55.0,40.0,165.1,M
73.0,24.0,167.48,XL
61.0,33.0,160.02,M
61.0,43.0,170.18,M
68.0,49.0,162.56,XL
50.0,57.0,162.56,S
72.0,28.0,175.26,XL
71.0,31.0,175.26,L
73.0,31.0,175.26,XL
56.0,25.0,154.94,M
54.0,38.0,164.94,S
77.0,29.0,167.48,XL
63.0,36.0,170.18,M
68.0,32.0,172.72,L
59.0,33.0,167.64,M
74.0,31.0,162.56,XL
68.0,42.0,165.1,XL
58.0,30.0,167.64,M
54.0,35.0,157.48,M
53.0,27.0,164.94,S
63.0,29.0,160.02,XL
52.0,37.0,162.4,S
72.0,28.0,160.02,XL
56.0,26.0,167.64,M
53.0,34.0,162.56,M
61.0,34.0,157.48,L
56.0,55.0,167.64,M
77.0,31.0,170.18,XL
61.0,30.0,160.02,M
68.0,34.0,167.64,L
58.0,32.0,167.64,M
71.0,26.0,170.18,XL
76.0,31.0,170.18,XL
49.0,33.0,152.4,S
73.0,44.0,167.64,XL
63.0,29.0,172.72,M
56.0,35.0,167.64,M
55.0,38.0,170.18,M
52.0,33.0,157.48,M
71.0,34.0,167.48,XL
56.0,31.0,160.02,M
56.0,32.0,160.02,M
80.0,32.0,177.8,XL
64.0,28.0,167.64,L
72.0,32.0,172.72,XL
74.0,28.0,172.72,L
61.0,42.0,165.1,M
70.0,31.0,165.1,XL
58.0,26.0,157.48,M
72.0,36.0,167.64,XL
52.0,28.0,170.18,S
66.0,37.0,160.02,L
54.0,22.0,165.1,S
72.0,30.0,162.56,XL
71.0,30.0,165.1,L
50.0,31.0,154.94,S
60.0,62.0,157.48,L
63.0,29.0,157.48,L
58.0,46.0,175.26,M
54.0,23.0,157.48,M
49.0,24.0,160.02,S
51.0,29.0,157.48,S
71.0,33.0,167.64,L
52.0,38.0,162.4,S
61.0,32.0,157.32,L
64.0,40.0,162.56,XL
54.0,33.0,167.64,M
54.0,37.0,167.48,S
73.0,28.0,172.72,XL
67.0,27.0,162.56,L
77.0,35.0,162.4,XL
57.0,53.0,170.18,M
51.0,28.0,154.94,S
48.0,43.0,157.48,S
64.0,31.0,167.64,L
61.0,34.0,160.02,M
59.0,32.0,170.18,M
58.0,33.0,165.1,M
56.0,70.0,170.18,M
68.0,26.0,165.1,L
54.0,30.0,170.18,S
46.0,19.0,160.02,S
58.0,39.0,162.56,M
75.0,24.0,167.64,XL
54.0,40.0,162.56,S
49.0,61.0,157.48,S
71.0,35.0,165.1,L
61.0,42.0,177.8,M
68.0,49.0,170.18,L
58.0,28.0,165.1,M
52.0,29.0,170.18,S
61.0,31.0,167.64,M
54.0,40.0,162.56,S
58.0,33.0,170.18,M
67.0,32.0,170.18,L
69.0,33.0,175.26,L
65.0,27.0,160.02,XL
54.0,28.0,170.18,S
61.0,30.0,165.1,M
65.0,38.0,162.56,XL
69.0,29.0,162.56,L
55.0,26.0,170.18,M
64.0,33.0,167.64,L
61.0,33.0,160.02,M
58.0,25.0,165.1,M
54.0,31.0,162.56,M
49.0,32.0,157.48,S
61.0,39.0,165.1,M
65.0,30.0,160.02,XL
57.0,25.0,154.94,M
63.0,45.0,157.48,L
54.0,28.0,160.02,M
58.0,32.0,165.1,M
57.0,33.0,172.72,M
68.0,40.0,170.18,L
73.0,28.0,177.8,XL
61.0,30.0,167.64,M
72.0,38.0,172.72,XL
70.0,25.0,172.72,L
82.0,29.0,177.8,XL
65.0,27.0,175.26,M
54.0,23.0,170.18,S
54.0,29.0,160.02,S
67.0,33.0,165.1,XL
54.0,16.0,170.18,S
58.0,32.0,165.1,M
56.0,30.0,167.64,M
62.0,34.0,165.1,M
51.0,34.0,159.48,M
45.0,33.0,172.72,S
58.0,38.0,167.64,M
53.0,37.0,172.72,S
73.0,48.0,170.18,XL
54.0,31.0,160.02,S
59.0,30.0,160.02,M
73.0,41.0,172.72,XL
71.0,29.0,175.26,L
67.0,50.0,160.02,L
53.0,30.0,162.4,S
61.0,42.0,170.18,M
63.0,30.0,162.56,M
47.0,20.0,157.48,S
62.0,32.0,170.18,M
65.0,24.0,170.18,M
56.0,36.0,162.56,M
58.0,26.0,167.64,M
58.0,33.0,165.1,M
58.0,27.0,160.02,M
82.0,37.0,177.8,XL
74.0,32.0,165.1,XL
47.0,28.0,167.64,S
56.0,28.0,162.56,M
50.0,25.0,165.1,S
69.0,33.0,165.1,XL
65.0,27.0,157.48,L
68.0,50.0,160.02,XL
66.0,45.0,172.72,XL
68.0,50.0,170.18,L
58.0,32.0,165.1,M
61.0,37.0,165.1,M
57.0,33.0,167.64,M
47.0,43.0,157.48,S
67.0,27.0,167.64,L
53.0,37.0,170.18,S
69.0,26.0,165.1,L
54.0,33.0,162.56,S
61.0,25.0,165.1,M
58.0,51.0,167.64,M
72.0,31.0,165.1,XL
56.0,44.0,162.56,M
61.0,30.0,172.72,M
70.0,53.0,170.18,XL
75.0,30.0,167.64,XL
53.0,36.0,167.64,S
70.0,32.0,172.72,L
63.0,25.0,162.56,M
63.0,33.0,177.8,M
58.0,36.0,170.18,M
67.0,33.0,162.56,L
61.0,33.0,157.48,L
61.0,46.0,162.56,M
76.0,26.0,175.26,XL
70.0,31.0,170.18,XL
54.0,22.0,167.64,M
56.0,32.0,157.48,M
58.0,42.0,162.56,M
47.0,42.0,157.48,S
69.0,41.0,165.1,L
54.0,22.0,165.1,S
62.0,36.0,165.1,M
53.0,41.0,157.48,M
74.0,26.0,170.18,L
55.0,30.0,167.64,M
58.0,57.0,152.4,L
71.0,33.0,170.18,L
76.0,46.0,177.8,XL
56.0,39.0,170.18,M
61.0,42.0,160.02,M
49.0,32.0,157.48,S
57.0,36.0,162.56,M
60.0,22.0,172.72,M
67.0,36.0,164.94,XL
68.0,35.0,162.56,XL
61.0,28.0,167.64,M
56.0,36.0,165.1,M
54.0,37.0,165.1,S
54.0,36.0,160.02,S
68.0,24.0,165.1,L
46.0,48.0,152.4,S
54.0,47.0,175.26,S
49.0,29.0,162.56,S
59.0,35.0,175.26,M
50.0,37.0,154.94,M
71.0,26.0,167.48,XL
65.0,39.0,162.56,XL
54.0,50.0,165.1,M
54.0,58.0,162.56,M
63.0,33.0,157.48,L
68.0,27.0,165.1,XL
63.0,46.0,159.86,L
53.0,57.0,162.4,S
61.0,31.0,160.02,M
56.0,27.0,170.18,M
76.0,48.0,180.34,XL
53.0,31.0,167.8,S
56.0,36.0,170.18,M
54.0,28.0,162.56,S
71.0,35.0,172.72,XL
58.0,34.0,165.1,M
61.0,23.0,165.1,M
73.0,27.0,175.26,XL
56.0,47.0,160.02,M
57.0,32.0,167.64,M
68.0,37.0,165.1,XL
56.0,38.0,160.02,M
68.0,32.0,165.1,XL
56.0,35.0,160.02,M
53.0,27.0,160.02,M
57.0,34.0,167.64,M
52.0,29.0,170.18,S
63.0,27.0,170.18,M
72.0,32.0,167.64,XL
71.0,27.0,177.8,L
58.0,26.0,162.56,M
58.0,33.0,165.1,M
56.0,31.0,160.02,M
56.0,29.0,170.18,M
67.0,42.0,160.02,L
54.0,29.0,167.48,S
71.0,30.0,170.18,XL
57.0,30.0,160.02,M
56.0,38.0,165.1,M
50.0,42.0,152.4,M
67.0,34.0,175.26,L
54.0,31.0,157.48,M
58.0,40.0,167.64,M
58.0,31.0,170.18,M
53.0,41.0,167.64,S
63.0,21.0,160.02,L
54.0,25.0,159.86,S
53.0,36.0,162.4,S
71.0,37.0,172.72,L
52.0,37.0,157.48,M
56.0,30.0,165.1,M
63.0,26.0,157.48,L
72.0,27.0,172.72,XL
69.0,27.0,172.72,L
63.0,30.0,165.1,M
56.0,32.0,157.48,M
54.0,31.0,162.56,S
58.0,40.0,162.56,M
51.0,32.0,167.64,S
56.0,41.0,162.56,M
69.0,28.0,165.1,L
69.0,27.0,167.64,L
74.0,30.0,167.64,XL
53.0,34.0,157.48,S
64.0,25.0,162.56,XL
63.0,21.0,167.64,M
71.0,29.0,167.64,L
58.0,34.0,160.02,M
69.0,32.0,175.26,L
61.0,32.0,162.56,M
52.0,31.0,152.4,M
55.0,29.0,154.94,M
76.0,59.0,177.8,XL
58.0,54.0,162.56,M
53.0,36.0,157.48,S
54.0,29.0,160.02,S
53.0,33.0,162.56,S
67.0,52.0,172.72,XL
56.0,38.0,154.94,M
76.0,37.0,175.26,XL
67.0,35.0,170.18,L
58.0,29.0,162.56,M
67.0,42.0,162.56,L
68.0,43.0,170.18,XL
54.0,28.0,167.64,S
80.0,57.0,177.8,XL
74.0,33.0,172.72,L
73.0,26.0,172.72,XL
76.0,34.0,170.18,XL
56.0,32.0,160.02,M
58.0,37.0,162.56,M
80.0,31.0,180.34,XL
56.0,34.0,165.1,M
55.0,33.0,167.64,M
58.0,41.0,157.48,M
73.0,44.0,167.64,XL
61.0,30.0,172.72,M
63.0,30.0,170.34,M
76.0,33.0,175.26,L
53.0,37.0,157.48,M
67.0,33.0,177.8,L
58.0,32.0,167.64,M
59.0,32.0,160.02,M
68.0,31.0,167.64,XL
69.0,25.0,177.8,L
56.0,27.0,172.72,M
68.0,35.0,165.1,XL
65.0,38.0,167.64,L
70.0,26.0,170.18,XL
58.0,31.0,162.56,M
49.0,31.0,157.48,S
61.0,35.0,177.8,M
56.0,35.0,170.18,M
56.0,32.0,165.1,M
62.0,30.0,177.8,L
68.0,48.0,167.64,L
56.0,51.0,165.1,M
78.0,31.0,180.34,XL
68.0,38.0,170.18,L
54.0,32.0,162.56,S
65.0,29.0,162.56,L
61.0,29.0,167.64,M
68.0,33.0,172.72,L
69.0,29.0,162.56,L
57.0,34.0,162.56,M
54.0,34.0,162.56,S
76.0,28.0,177.8,L
55.0,33.0,162.56,M
71.0,49.0,165.1,L
69.0,32.0,162.56,L
50.0,22.0,162.56,S
59.0,31.0,165.1,M
65.0,34.0,162.56,L
57.0,49.0,165.1,M
58.0,37.0,165.1,M
48.0,33.0,162.56,S
59.0,29.0,162.56,M
61.0,32.0,170.18,M
69.0,34.0,172.72,L
66.0,32.0,172.72,L
71.0,33.0,172.72,XL
54.0,33.0,170.18,S
69.0,49.0,170.18,L
74.0,28.0,167.64,XL
47.0,43.0,157.48,S
49.0,34.0,160.02,S
65.0,31.0,160.02,L
75.0,31.0,167.64,XL
67.0,34.0,167.64,L
69.0,29.0,172.72,L
73.0,24.0,167.64,XL
56.0,28.0,160.02,M
59.0,30.0,167.64,M
56.0,33.0,160.02,M
61.0,36.0,175.26,M
64.0,27.0,160.02,XL
62.0,48.0,165.1,M
60.0,29.0,165.1,M
58.0,26.0,162.56,M
55.0,28.0,157.48,M
68.0,26.0,162.56,XL
50.0,39.0,156.94,M
61.0,29.0,162.56,M
50.0,26.0,157.48,S
54.0,39.0,162.56,M
69.0,35.0,167.48,XL
49.0,29.0,157.48,S
64.0,31.0,175.26,XL
73.0,30.0,177.8,XL
69.0,47.0,172.72,L
63.0,24.0,162.56,M
67.0,40.0,162.56,L
54.0,51.0,167.64,S
63.0,27.0,160.02,L
69.0,48.0,170.18,XL
49.0,42.0,162.56,S
69.0,33.0,170.18,L
58.0,31.0,162.56,M
74.0,32.0,172.72,XL
57.0,29.0,157.48,M
73.0,27.0,167.64,XL
58.0,30.0,167.64,M
55.0,28.0,152.4,M
65.0,32.0,175.26,M
71.0,29.0,170.18,XL
54.0,20.0,162.56,M
71.0,37.0,175.26,L
61.0,26.0,170.18,M
53.0,48.0,162.56,M
78.0,32.0,175.26,L
58.0,45.0,172.72,M
66.0,63.0,170.18,XL
69.0,55.0,167.64,L
68.0,27.0,162.56,XL
72.0,39.0,167.64,XL
65.0,32.0,162.56,XL
58.0,26.0,162.56,M
68.0,47.0,170.18,L
58.0,32.0,165.1,M
63.0,35.0,172.72,M
63.0,29.0,160.02,L
49.0,36.0,152.4,S
63.0,31.0,175.26,M
74.0,33.0,172.72,L
61.0,25.0,167.64,M
76.0,24.0,170.18,XL
56.0,36.0,165.1,M
58.0,30.0,162.56,M
